id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
35391,54.0,blue-collar,married,primary,no,6242.0,yes,no,cellular,7.0,may,162.0,1.0,-1.0,0.0,unknown,0
14129,56.0,management,married,tertiary,no,-762.0,yes,yes,cellular,11.0,jul,348.0,2.0,-1.0,0.0,unknown,0
20034,,self-employed,married,tertiary,no,3003.0,no,no,cellular,8.0,aug,358.0,3.0,-1.0,0.0,unknown,0
41866,61.0,management,married,tertiary,no,0.0,no,no,cellular,16.0,oct,136.0,2.0,-1.0,0.0,unknown,1
41671,61.0,management,married,tertiary,no,1224.0,no,no,cellular,1.0,oct,99.0,1.0,-1.0,0.0,unknown,0
12035,58.0,services,married,secondary,no,0.0,no,no,unknown,20.0,jun,241.0,3.0,-1.0,0.0,unknown,0
18989,33.0,technician,married,secondary,no,-89.0,no,yes,cellular,4.0,aug,410.0,,-1.0,0.0,unknown,0
43743,64.0,retired,married,secondary,no,1612.0,no,no,cellular,18.0,may,336.0,1.0,89.0,5.0,failure,1
2803,54.0,blue-collar,married,secondary,no,1288.0,yes,no,unknown,14.0,may,170.0,1.0,-1.0,0.0,unknown,0
17423,34.0,technician,single,secondary,no,2683.0,no,no,cellular,28.0,jul,73.0,2.0,-1.0,0.0,unknown,0
8782,27.0,blue-collar,married,secondary,no,6196.0,yes,no,unknown,4.0,jun,355.0,1.0,-1.0,0.0,unknown,0
31416,36.0,management,married,secondary,no,565.0,no,no,cellular,27.0,mar,300.0,1.0,-1.0,0.0,unknown,1
6724,32.0,admin.,single,secondary,no,-648.0,yes,no,unknown,,may,439.0,2.0,-1.0,0.0,unknown,0
25260,38.0,management,divorced,unknown,no,0.0,yes,no,,18.0,nov,96.0,2.0,-1.0,0.0,unknown,0
7477,46.0,blue-collar,married,secondary,no,0.0,yes,no,unknown,29.0,may,328.0,2.0,-1.0,0.0,unknown,0
10809,55.0,management,single,tertiary,no,854.0,yes,yes,unknown,17.0,jun,98.0,4.0,-1.0,0.0,unknown,0
29492,56.0,blue-collar,married,primary,no,151.0,no,no,cellular,3.0,feb,128.0,1.0,-1.0,0.0,unknown,0
10896,48.0,blue-collar,married,secondary,no,1562.0,no,no,unknown,,jun,50.0,2.0,-1.0,0.0,unknown,0
28305,46.0,admin.,married,secondary,no,466.0,yes,no,cellular,29.0,,169.0,1.0,-1.0,0.0,unknown,0
13204,46.0,blue-collar,divorced,primary,no,2775.0,no,yes,cellular,8.0,jul,188.0,1.0,-1.0,0.0,unknown,0
37549,28.0,blue-collar,married,primary,no,674.0,yes,no,telephone,14.0,may,921.0,4.0,-1.0,0.0,,0
19801,57.0,blue-collar,married,unknown,no,1463.0,no,,cellular,8.0,aug,163.0,2.0,-1.0,0.0,unknown,0
7894,42.0,technician,divorced,secondary,no,0.0,yes,no,unknown,30.0,may,115.0,6.0,-1.0,0.0,unknown,0
27670,31.0,management,married,tertiary,no,1402.0,no,no,cellular,21.0,nov,104.0,2.0,-1.0,0.0,unknown,0
19530,34.0,technician,married,tertiary,no,4953.0,no,no,cellular,7.0,aug,235.0,2.0,-1.0,0.0,unknown,0
8524,27.0,blue-collar,married,secondary,no,818.0,yes,no,unknown,3.0,jun,188.0,5.0,-1.0,0.0,unknown,0
35798,33.0,management,married,tertiary,no,113.0,yes,no,cellular,8.0,may,145.0,2.0,172.0,13.0,other,0
20130,35.0,technician,single,secondary,no,14.0,no,no,cellular,11.0,aug,113.0,2.0,-1.0,0.0,unknown,0
40488,34.0,technician,married,secondary,no,-74.0,yes,no,,7.0,jul,98.0,2.0,347.0,4.0,failure,0
10660,50.0,housemaid,married,primary,no,4.0,no,no,unknown,16.0,jun,51.0,1.0,-1.0,0.0,unknown,0
866,35.0,technician,married,secondary,no,118.0,yes,no,unknown,7.0,may,236.0,1.0,-1.0,0.0,unknown,0
26686,47.0,blue-collar,married,secondary,no,2428.0,yes,no,cellular,20.0,nov,9.0,6.0,177.0,16.0,other,0
5504,36.0,technician,divorced,tertiary,no,0.0,no,no,unknown,23.0,may,539.0,2.0,-1.0,0.0,unknown,0
30715,50.0,entrepreneur,divorced,tertiary,no,1790.0,no,yes,cellular,6.0,feb,748.0,3.0,-1.0,0.0,unknown,0
3395,46.0,management,married,tertiary,,1038.0,yes,yes,unknown,,may,200.0,3.0,-1.0,0.0,unknown,0
23866,32.0,technician,married,secondary,no,444.0,no,no,cellular,29.0,aug,63.0,2.0,-1.0,0.0,unknown,0
28816,36.0,services,married,secondary,no,238.0,no,no,cellular,30.0,jan,424.0,1.0,-1.0,0.0,unknown,0
17246,43.0,blue-collar,,primary,no,-399.0,no,yes,cellular,28.0,jul,662.0,3.0,-1.0,0.0,unknown,1
26739,30.0,blue-collar,divorced,primary,no,511.0,yes,no,cellular,20.0,nov,157.0,3.0,-1.0,0.0,unknown,0
30599,40.0,entrepreneur,married,secondary,no,2663.0,yes,yes,cellular,6.0,feb,289.0,2.0,-1.0,0.0,unknown,0
1094,46.0,blue-collar,single,secondary,no,76.0,yes,no,unknown,7.0,may,245.0,2.0,-1.0,0.0,unknown,0
19466,38.0,management,single,tertiary,no,3813.0,no,no,cellular,7.0,aug,117.0,2.0,-1.0,0.0,unknown,0
7422,25.0,blue-collar,single,secondary,no,1429.0,yes,no,unknown,29.0,may,187.0,3.0,-1.0,0.0,unknown,0
28477,27.0,unemployed,single,primary,no,1459.0,yes,no,telephone,29.0,jan,153.0,1.0,-1.0,0.0,unknown,0
34876,47.0,entrepreneur,married,unknown,no,1481.0,yes,no,cellular,6.0,may,64.0,2.0,364.0,3.0,failure,0
25703,46.0,blue-collar,married,secondary,no,9347.0,yes,no,cellular,19.0,nov,138.0,1.0,117.0,1.0,other,0
27354,54.0,blue-collar,married,secondary,no,-10.0,yes,no,cellular,21.0,nov,490.0,2.0,-1.0,0.0,unknown,0
40876,35.0,housemaid,married,tertiary,no,11219.0,no,no,cellular,,aug,699.0,2.0,79.0,1.0,failure,0
37710,55.0,management,married,primary,no,366.0,yes,no,cellular,14.0,may,161.0,1.0,364.0,1.0,failure,0
3563,50.0,blue-collar,married,secondary,no,1604.0,yes,no,unknown,15.0,may,267.0,5.0,-1.0,0.0,unknown,0
6004,31.0,services,single,secondary,no,0.0,yes,no,unknown,26.0,may,223.0,2.0,-1.0,0.0,unknown,0
18360,44.0,,single,tertiary,no,617.0,no,no,telephone,31.0,jul,30.0,2.0,-1.0,0.0,unknown,0
11431,40.0,services,married,secondary,,1358.0,no,no,unknown,19.0,jun,96.0,1.0,-1.0,0.0,unknown,0
5054,28.0,unemployed,married,tertiary,no,264.0,yes,no,unknown,21.0,may,443.0,2.0,-1.0,0.0,unknown,0
4542,43.0,management,married,tertiary,no,-8.0,yes,no,unknown,20.0,may,473.0,2.0,-1.0,0.0,unknown,0
8047,32.0,entrepreneur,married,primary,no,56.0,no,no,unknown,2.0,jun,389.0,1.0,-1.0,0.0,unknown,0
23714,40.0,technician,married,secondary,no,88.0,no,no,cellular,28.0,aug,214.0,3.0,-1.0,0.0,unknown,0
40892,37.0,technician,single,,no,300.0,no,no,cellular,12.0,aug,82.0,1.0,-1.0,0.0,unknown,0
15218,26.0,admin.,married,secondary,no,5231.0,,yes,cellular,17.0,jul,222.0,2.0,-1.0,0.0,unknown,0
2140,26.0,blue-collar,single,secondary,no,199.0,yes,yes,unknown,12.0,may,125.0,1.0,-1.0,0.0,unknown,0
31646,35.0,technician,married,secondary,no,0.0,yes,no,cellular,6.0,apr,139.0,1.0,-1.0,0.0,unknown,0
6456,41.0,technician,married,secondary,no,-274.0,yes,no,unknown,27.0,may,182.0,3.0,-1.0,0.0,unknown,0
18254,27.0,services,single,secondary,no,0.0,yes,no,cellular,,jul,35.0,6.0,-1.0,0.0,unknown,0
13125,,management,single,secondary,no,1923.0,no,yes,cellular,8.0,jul,71.0,1.0,-1.0,0.0,unknown,0
6463,30.0,blue-collar,married,secondary,no,-202.0,no,no,unknown,27.0,may,166.0,2.0,-1.0,0.0,unknown,0
42991,75.0,retired,divorced,primary,no,37127.0,no,no,cellular,11.0,feb,505.0,1.0,-1.0,0.0,unknown,0
21007,54.0,management,married,tertiary,no,0.0,no,no,cellular,14.0,aug,260.0,7.0,-1.0,0.0,unknown,0
40378,48.0,admin.,divorced,secondary,no,0.0,yes,yes,cellular,23.0,jun,248.0,1.0,89.0,1.0,failure,0
24021,31.0,,single,tertiary,no,7554.0,no,no,telephone,29.0,aug,51.0,1.0,-1.0,0.0,unknown,0
2317,48.0,,married,primary,no,762.0,yes,no,unknown,12.0,may,81.0,4.0,-1.0,0.0,unknown,0
37596,44.0,blue-collar,married,secondary,no,-182.0,yes,yes,cellular,14.0,may,10.0,10.0,-1.0,0.0,unknown,0
19909,32.0,management,single,tertiary,no,28.0,no,no,cellular,8.0,aug,111.0,2.0,-1.0,0.0,unknown,0
25332,39.0,blue-collar,married,secondary,no,8.0,no,yes,cellular,18.0,nov,607.0,1.0,-1.0,0.0,unknown,0
12410,39.0,services,married,primary,no,324.0,yes,no,unknown,30.0,jun,182.0,4.0,-1.0,0.0,unknown,0
28851,45.0,entrepreneur,divorced,secondary,no,44.0,no,yes,cellular,30.0,jan,250.0,2.0,2.0,1.0,other,0
7772,38.0,management,married,tertiary,no,2548.0,yes,no,unknown,30.0,may,60.0,1.0,-1.0,0.0,unknown,0
41299,39.0,technician,divorced,secondary,no,385.0,no,no,cellular,26.0,aug,143.0,1.0,93.0,1.0,failure,0
44893,89.0,retired,married,primary,no,0.0,no,no,telephone,27.0,sep,157.0,5.0,-1.0,0.0,unknown,0
8548,43.0,admin.,married,secondary,no,429.0,yes,yes,unknown,,jun,35.0,32.0,-1.0,0.0,unknown,0
33460,54.0,blue-collar,married,primary,no,433.0,yes,no,cellular,20.0,apr,252.0,5.0,-1.0,0.0,unknown,0
12297,47.0,technician,married,secondary,no,80.0,no,yes,unknown,25.0,jun,100.0,1.0,-1.0,0.0,unknown,0
44994,43.0,admin.,single,secondary,no,386.0,no,no,cellular,12.0,,242.0,1.0,92.0,4.0,success,0
539,,blue-collar,married,unknown,no,245.0,yes,no,unknown,6.0,may,13.0,1.0,-1.0,0.0,unknown,0
28505,57.0,management,divorced,tertiary,no,-676.0,yes,yes,cellular,29.0,jan,100.0,2.0,247.0,,failure,0
14173,37.0,management,divorced,secondary,no,1448.0,yes,,cellular,11.0,jul,71.0,2.0,-1.0,0.0,unknown,0
2074,29.0,technician,married,tertiary,no,409.0,yes,no,unknown,12.0,may,247.0,3.0,-1.0,0.0,unknown,0
5762,41.0,blue-collar,married,secondary,yes,-651.0,yes,yes,unknown,26.0,may,,1.0,-1.0,0.0,,0
32229,29.0,blue-collar,single,secondary,no,2553.0,yes,no,cellular,16.0,apr,250.0,1.0,-1.0,0.0,unknown,0
20313,31.0,management,married,tertiary,no,4945.0,no,no,cellular,11.0,aug,445.0,1.0,-1.0,0.0,unknown,0
14452,50.0,management,married,tertiary,no,305.0,yes,no,telephone,14.0,jul,111.0,3.0,-1.0,0.0,unknown,0
32904,30.0,technician,married,secondary,no,-280.0,yes,no,cellular,17.0,apr,609.0,2.0,266.0,,failure,0
2957,46.0,technician,divorced,secondary,no,3455.0,yes,no,unknown,14.0,may,566.0,2.0,-1.0,0.0,unknown,0
21096,37.0,management,divorced,tertiary,no,896.0,no,yes,cellular,14.0,aug,343.0,2.0,-1.0,,unknown,0
36643,48.0,management,married,secondary,no,-440.0,yes,yes,cellular,12.0,may,399.0,1.0,-1.0,0.0,unknown,0
43331,46.0,management,married,tertiary,no,273.0,yes,no,cellular,18.0,mar,910.0,2.0,184.0,4.0,success,1
44193,68.0,retired,married,secondary,no,2469.0,yes,no,telephone,15.0,jul,552.0,2.0,,0.0,unknown,1
12970,35.0,management,married,tertiary,no,122.0,no,no,cellular,7.0,jul,179.0,4.0,-1.0,0.0,,0
26775,45.0,blue-collar,married,primary,no,5461.0,yes,no,cellular,20.0,nov,841.0,2.0,-1.0,0.0,unknown,1
39137,32.0,blue-collar,married,primary,no,-454.0,yes,yes,cellular,18.0,may,801.0,5.0,355.0,2.0,failure,1
1459,35.0,blue-collar,single,primary,no,398.0,yes,no,unknown,8.0,may,34.0,1.0,-1.0,0.0,unknown,0
39453,28.0,self-employed,single,tertiary,no,2503.0,no,no,cellular,25.0,may,426.0,1.0,-1.0,0.0,unknown,1
17188,45.0,admin.,divorced,tertiary,no,1506.0,no,no,cellular,28.0,jul,365.0,4.0,-1.0,0.0,unknown,1
37267,36.0,technician,married,secondary,no,55.0,yes,no,cellular,13.0,may,38.0,2.0,369.0,4.0,failure,0
2686,53.0,retired,divorced,tertiary,no,599.0,yes,no,unknown,13.0,may,322.0,3.0,-1.0,0.0,unknown,0
28483,29.0,entrepreneur,single,tertiary,no,430.0,no,yes,cellular,29.0,jan,624.0,2.0,-1.0,0.0,unknown,0
16915,44.0,technician,single,primary,no,237.0,yes,no,cellular,25.0,jul,54.0,1.0,-1.0,0.0,unknown,0
18124,44.0,blue-collar,divorced,secondary,no,221.0,no,no,cellular,30.0,jul,149.0,13.0,-1.0,0.0,unknown,0
36425,32.0,technician,single,secondary,no,271.0,yes,yes,cellular,11.0,may,271.0,2.0,-1.0,0.0,unknown,0
8238,35.0,,married,primary,no,456.0,yes,no,unknown,2.0,jun,71.0,1.0,-1.0,0.0,unknown,0
13177,26.0,management,single,tertiary,no,8303.0,no,no,cellular,8.0,jul,143.0,2.0,-1.0,0.0,unknown,0
17917,48.0,technician,married,secondary,no,862.0,no,no,cellular,30.0,jul,160.0,2.0,-1.0,0.0,unknown,0
44469,45.0,admin.,married,secondary,no,476.0,no,no,cellular,6.0,aug,356.0,1.0,364.0,1.0,other,1
6493,34.0,admin.,single,secondary,no,0.0,yes,no,unknown,27.0,may,197.0,2.0,-1.0,0.0,unknown,0
26801,36.0,admin.,married,tertiary,no,75.0,no,yes,cellular,20.0,nov,97.0,2.0,-1.0,0.0,unknown,0
38623,29.0,admin.,single,,,-349.0,yes,no,cellular,15.0,may,233.0,4.0,-1.0,0.0,unknown,0
8367,58.0,management,married,tertiary,no,107.0,yes,no,unknown,3.0,jun,55.0,1.0,-1.0,0.0,unknown,0
34014,53.0,services,married,secondary,no,341.0,no,no,cellular,30.0,apr,423.0,2.0,-1.0,0.0,unknown,1
14709,36.0,entrepreneur,married,secondary,no,185.0,yes,no,cellular,15.0,jul,136.0,2.0,-1.0,0.0,unknown,0
36934,60.0,technician,married,secondary,no,-247.0,yes,no,telephone,12.0,may,472.0,2.0,351.0,1.0,failure,0
9697,39.0,entrepreneur,,secondary,yes,0.0,no,no,unknown,6.0,jun,119.0,4.0,-1.0,0.0,unknown,0
19726,38.0,technician,married,secondary,no,740.0,no,no,,7.0,aug,259.0,3.0,-1.0,0.0,unknown,0
15852,29.0,blue-collar,married,,no,544.0,no,yes,cellular,21.0,jul,121.0,4.0,-1.0,0.0,unknown,0
8321,35.0,technician,single,secondary,no,1708.0,yes,no,unknown,2.0,jun,110.0,3.0,-1.0,0.0,unknown,0
12466,31.0,services,married,tertiary,yes,-90.0,no,yes,unknown,1.0,jul,173.0,1.0,-1.0,0.0,unknown,0
31953,43.0,blue-collar,,secondary,no,678.0,yes,yes,cellular,13.0,apr,299.0,3.0,-1.0,0.0,unknown,0
1966,28.0,technician,married,secondary,no,655.0,yes,no,unknown,9.0,may,179.0,2.0,-1.0,0.0,unknown,0
33155,52.0,services,divorced,secondary,no,1430.0,yes,no,telephone,20.0,apr,121.0,4.0,-1.0,0.0,unknown,0
43681,19.0,student,single,primary,no,608.0,no,no,cellular,12.0,may,236.0,1.0,180.0,2.0,success,1
28335,35.0,technician,single,secondary,no,175.0,yes,no,cellular,29.0,jan,219.0,,246.0,1.0,failure,0
20768,56.0,admin.,married,unknown,no,1784.0,no,no,cellular,13.0,aug,71.0,2.0,-1.0,0.0,unknown,0
9864,42.0,technician,,secondary,no,0.0,no,no,unknown,9.0,jun,81.0,1.0,-1.0,0.0,unknown,0
29402,54.0,management,married,tertiary,no,67.0,yes,no,cellular,2.0,feb,161.0,3.0,73.0,1.0,other,0
2440,45.0,blue-collar,married,secondary,no,4646.0,yes,no,unknown,13.0,may,118.0,1.0,-1.0,0.0,unknown,0
15017,43.0,entrepreneur,married,secondary,no,556.0,yes,no,cellular,17.0,jul,317.0,1.0,-1.0,0.0,unknown,0
1154,54.0,technician,divorced,secondary,no,1904.0,yes,yes,unknown,7.0,may,280.0,3.0,-1.0,0.0,unknown,0
25888,47.0,blue-collar,married,secondary,no,310.0,no,no,cellular,19.0,nov,353.0,2.0,-1.0,0.0,unknown,0
26746,34.0,management,married,tertiary,no,16649.0,yes,no,cellular,20.0,nov,155.0,2.0,-1.0,0.0,unknown,0
1294,30.0,entrepreneur,married,secondary,no,31.0,no,no,unknown,8.0,may,229.0,1.0,-1.0,0.0,unknown,0
145,59.0,blue-collar,married,secondary,no,57.0,yes,no,unknown,5.0,may,98.0,1.0,-1.0,0.0,unknown,0
4036,34.0,blue-collar,married,primary,no,695.0,yes,yes,unknown,16.0,may,1064.0,,-1.0,0.0,unknown,1
8193,39.0,technician,single,secondary,no,122.0,yes,no,unknown,2.0,jun,,1.0,-1.0,0.0,unknown,0
26864,30.0,blue-collar,single,secondary,no,1472.0,yes,no,cellular,20.0,nov,769.0,4.0,-1.0,0.0,unknown,0
17861,52.0,blue-collar,single,primary,no,1400.0,no,no,cellular,30.0,jul,103.0,4.0,-1.0,0.0,unknown,0
16847,34.0,technician,married,tertiary,no,0.0,yes,no,cellular,25.0,jul,52.0,3.0,-1.0,0.0,unknown,0
1156,,unemployed,married,primary,no,447.0,yes,no,unknown,7.0,may,365.0,4.0,-1.0,0.0,unknown,0
26258,52.0,management,married,,yes,57.0,yes,yes,cellular,20.0,nov,45.0,1.0,196.0,1.0,failure,0
11427,55.0,services,married,secondary,no,557.0,no,no,unknown,19.0,jun,58.0,1.0,-1.0,0.0,unknown,0
8854,35.0,blue-collar,married,primary,no,300.0,yes,no,unknown,4.0,jun,81.0,1.0,-1.0,0.0,unknown,0
29041,60.0,technician,married,secondary,no,358.0,no,no,cellular,2.0,feb,95.0,1.0,216.0,2.0,failure,0
559,39.0,blue-collar,divorced,unknown,no,170.0,yes,no,unknown,6.0,may,268.0,2.0,-1.0,0.0,unknown,0
11050,36.0,services,single,secondary,no,398.0,yes,yes,unknown,17.0,jun,77.0,2.0,-1.0,0.0,unknown,0
31394,76.0,retired,divorced,primary,no,3049.0,no,no,cellular,24.0,mar,170.0,3.0,-1.0,0.0,unknown,1
4979,32.0,blue-collar,single,,no,435.0,,no,unknown,21.0,may,373.0,2.0,-1.0,0.0,unknown,0
3764,24.0,blue-collar,married,secondary,no,142.0,yes,yes,unknown,16.0,may,300.0,,-1.0,0.0,unknown,0
12687,51.0,technician,married,secondary,no,216.0,no,no,cellular,7.0,jul,615.0,2.0,-1.0,0.0,unknown,1
9561,48.0,management,married,primary,no,2803.0,yes,no,unknown,6.0,jun,30.0,24.0,-1.0,0.0,unknown,0
40813,48.0,unemployed,divorced,secondary,no,201.0,no,no,cellular,11.0,aug,140.0,1.0,-1.0,0.0,unknown,1
41350,33.0,technician,single,tertiary,no,2340.0,no,no,cellular,31.0,aug,65.0,5.0,97.0,3.0,failure,0
14807,35.0,management,married,tertiary,no,-273.0,yes,no,cellular,16.0,jul,344.0,3.0,-1.0,0.0,unknown,0
39880,33.0,services,divorced,secondary,no,1117.0,no,no,cellular,2.0,jun,417.0,1.0,-1.0,0.0,unknown,1
45101,34.0,blue-collar,married,secondary,,152.0,no,no,cellular,25.0,oct,275.0,1.0,-1.0,0.0,unknown,0
11254,47.0,technician,married,secondary,no,3478.0,no,no,unknown,18.0,jun,13.0,11.0,-1.0,0.0,unknown,0
